"MonitoringLocationIdentifier","ActivityStartDate","HydrologicEvent","CharacteristicName","meanresult"
"21NC01WQ-J1330000",1981-07-15,"","Temperature, water",1376
"21NC01WQ-J1330000",1981-07-15,"","Turbidity",548
"21NC01WQ-J1330000",1981-08-18,"","Temperature, water",1307.5
"21NC01WQ-J1330000",1981-08-18,"","Turbidity",1273
"21NC01WQ-J1330000",1981-09-14,"","Temperature, water",1351
"21NC01WQ-J1330000",1981-09-14,"","Turbidity",1570
"21NC01WQ-J1330000",1981-10-22,"","Temperature, water",1140
"21NC01WQ-J1330000",1981-11-16,"","Temperature, water",1034
"21NC01WQ-J1330000",1981-11-16,"","Turbidity",1570
"21NC01WQ-J1330000",1981-12-08,"","Temperature, water",992.5
"21NC01WQ-J1330000",1982-01-28,"","Temperature, water",551.5
"21NC01WQ-J1330000",1982-02-18,"","Temperature, water",1692
"21NC01WQ-J1330000",1982-02-18,"","Turbidity",1779
"21NC01WQ-J1330000",1982-03-04,"","Temperature, water",1692
"21NC01WQ-J1330000",1982-04-22,"","Temperature, water",1034
"21NC01WQ-J1330000",1982-05-18,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1982-05-18,"","Turbidity",1423
"21NC01WQ-J1330000",1982-06-11,"","Temperature, water",1235.5
"21NC01WQ-J1330000",1982-07-12,"","Temperature, water",1376
"21NC01WQ-J1330000",1982-08-11,"","Temperature, water",1351
"21NC01WQ-J1330000",1982-08-11,"","Turbidity",548
"21NC01WQ-J1330000",1982-09-15,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1982-10-14,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1982-11-04,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1982-11-04,"","Turbidity",690
"21NC01WQ-J1330000",1982-12-08,"","Temperature, water",963
"21NC01WQ-J1330000",1983-01-11,"","Temperature, water",935
"21NC01WQ-J1330000",1983-02-03,"","Temperature, water",1692
"21NC01WQ-J1330000",1983-02-03,"","Turbidity",1615
"21NC01WQ-J1330000",1983-03-14,"","Temperature, water",935
"21NC01WQ-J1330000",1983-04-04,"","Temperature, water",992.5
"21NC01WQ-J1330000",1983-05-10,"","Temperature, water",1140
"21NC01WQ-J1330000",1983-05-10,"","Turbidity",1989
"21NC01WQ-J1330000",1983-06-02,"","Temperature, water",1140
"21NC01WQ-J1330000",1983-07-20,"","Temperature, water",1376
"21NC01WQ-J1330000",1983-08-03,"","Temperature, water",1376
"21NC01WQ-J1330000",1983-08-03,"","Turbidity",1306
"21NC01WQ-J1330000",1983-09-20,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1983-10-13,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1983-11-17,"","Temperature, water",1692
"21NC01WQ-J1330000",1983-11-17,"","Turbidity",909
"21NC01WQ-J1330000",1983-12-15,"","Temperature, water",1692
"21NC01WQ-J1330000",1984-01-05,"","Temperature, water",712
"21NC01WQ-J1330000",1984-02-23,"","Temperature, water",1692
"21NC01WQ-J1330000",1984-02-23,"","Turbidity",1955
"21NC01WQ-J1330000",1984-03-08,"","Temperature, water",1356
"21NC01WQ-J1330000",1984-04-11,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1984-05-25,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1984-05-25,"","Turbidity",1711
"21NC01WQ-J1330000",1984-06-20,"","Temperature, water",1376
"21NC01WQ-J1330000",1984-07-26,"","Temperature, water",1351
"21NC01WQ-J1330000",1984-08-20,"","Temperature, water",1351
"21NC01WQ-J1330000",1984-08-20,"","Turbidity",1033
"21NC01WQ-J1330000",1984-09-14,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1984-10-26,"","Temperature, water",1351
"21NC01WQ-J1330000",1984-11-13,"","Temperature, water",1692
"21NC01WQ-J1330000",1984-11-13,"","Turbidity",1770
"21NC01WQ-J1330000",1984-12-10,"","Temperature, water",1439
"21NC01WQ-J1330000",1985-01-22,"","Temperature, water",712
"21NC01WQ-J1330000",1985-02-12,"","Temperature, water",1356
"21NC01WQ-J1330000",1985-02-12,"","Turbidity",557
"21NC01WQ-J1330000",1985-03-19,"","Temperature, water",1692
"21NC01WQ-J1330000",1985-04-11,"","Temperature, water",1015.5
"21NC01WQ-J1330000",1985-05-16,"","Temperature, water",1307.5
"21NC01WQ-J1330000",1985-05-16,"","Turbidity",1835
"21NC01WQ-J1330000",1985-06-20,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1985-07-17,"","Temperature, water",1376
"21NC01WQ-J1330000",1985-08-26,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1985-08-26,"","Turbidity",1469
"21NC01WQ-J1330000",1985-09-20,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1985-10-22,"","Temperature, water",1140
"21NC01WQ-J1330000",1985-11-12,"","Temperature, water",1034
"21NC01WQ-J1330000",1985-11-12,"","Turbidity",1253
"21NC01WQ-J1330000",1985-12-12,"","Temperature, water",1095
"21NC01WQ-J1330000",1986-01-13,"","Temperature, water",1077
"21NC01WQ-J1330000",1986-02-20,"","Temperature, water",935
"21NC01WQ-J1330000",1986-02-20,"","Turbidity",823
"21NC01WQ-J1330000",1986-03-17,"","Temperature, water",992.5
"21NC01WQ-J1330000",1986-04-16,"","Temperature, water",1095
"21NC01WQ-J1330000",1986-05-13,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1986-05-13,"","Turbidity",1464
"21NC01WQ-J1330000",1986-06-16,"","Temperature, water",1351
"21NC01WQ-J1330000",1986-07-23,"","Temperature, water",1351
"21NC01WQ-J1330000",1986-08-25,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1986-08-25,"","Turbidity",2023
"21NC01WQ-J1330000",1986-10-24,"","Temperature, water",1095
"21NC01WQ-J1330000",1986-11-13,"","Temperature, water",963
"21NC01WQ-J1330000",1986-12-10,"","Temperature, water",1034
"21NC01WQ-J1330000",1987-01-28,"","Temperature, water",1077
"21NC01WQ-J1330000",1987-03-03,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1987-03-03,"","Turbidity",888
"21NC01WQ-J1330000",1987-03-16,"","Temperature, water",1692
"21NC01WQ-J1330000",1987-04-07,"","Temperature, water",935
"21NC01WQ-J1330000",1987-05-07,"","Temperature, water",1117
"21NC01WQ-J1330000",1987-05-07,"","Turbidity",1436
"21NC01WQ-J1330000",1987-06-24,"","Temperature, water",1351
"21NC01WQ-J1330000",1987-09-23,"","Temperature, water",1235.5
"21NC01WQ-J1330000",1987-10-14,"","Temperature, water",1034
"21NC01WQ-J1330000",1987-10-14,"","Turbidity",478
"21NC01WQ-J1330000",1987-11-18,"","Temperature, water",1117
"21NC01WQ-J1330000",1987-12-16,"","Temperature, water",1692
"21NC01WQ-J1330000",1988-01-26,"","Temperature, water",1356
"21NC01WQ-J1330000",1988-02-25,"","Temperature, water",1523.5
"21NC01WQ-J1330000",1988-02-25,"","Turbidity",478
"21NC01WQ-J1330000",1988-03-16,"","Temperature, water",1692
"21NC01WQ-J1330000",1988-04-25,"","Temperature, water",1117
"21NC01WQ-J1330000",1988-05-23,"","Temperature, water",1351
"21NC01WQ-J1330000",1988-05-23,"","Turbidity",1273
"21NC01WQ-J1330000",1988-06-21,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1988-07-13,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1988-08-23,"","Temperature, water",1351
"21NC01WQ-J1330000",1988-08-23,"","Turbidity",844
"21NC01WQ-J1330000",1988-09-07,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1988-10-18,"","Temperature, water",1117
"21NC01WQ-J1330000",1988-11-17,"","Temperature, water",1095
"21NC01WQ-J1330000",1988-11-17,"","Turbidity",592
"21NC01WQ-J1330000",1988-12-21,"","Temperature, water",1692
"21NC01WQ-J1330000",1989-01-11,"","Temperature, water",935
"21NC01WQ-J1330000",1989-02-02,"","Temperature, water",1095
"21NC01WQ-J1330000",1989-02-02,"","Turbidity",1570
"21NC01WQ-J1330000",1989-03-27,"","Temperature, water",992.5
"21NC01WQ-J1330000",1989-04-06,"","Temperature, water",1018.5
"21NC01WQ-J1330000",1989-05-05,"","Temperature, water",1108.5
"21NC01WQ-J1330000",1989-05-05,"","Turbidity",1188
"21NC01WQ-J1330000",1989-07-17,"","Temperature, water",1314
"21NC01WQ-J1330000",1989-08-14,"","Temperature, water",1336
"21NC01WQ-J1330000",1989-08-14,"","Turbidity",443
"21NC01WQ-J1330000",1989-09-19,"","Temperature, water",1314
"21NC01WQ-J1330000",1989-10-26,"","Temperature, water",1055
"21NC01WQ-J1330000",1989-11-15,"","Temperature, water",1140
"21NC01WQ-J1330000",1989-11-15,"","Turbidity",1901
"21NC01WQ-J1330000",1989-12-15,"","Temperature, water",1356
"21NC01WQ-J1330000",1990-01-24,"","Temperature, water",963
"21NC01WQ-J1330000",1990-02-21,"","Temperature, water",1692
"21NC01WQ-J1330000",1990-02-21,"","Turbidity",778
"21NC01WQ-J1330000",1990-03-26,"","Temperature, water",1015.5
"21NC01WQ-J1330000",1990-04-20,"","Temperature, water",1055
"21NC01WQ-J1330000",1990-06-25,"","Temperature, water",1314
"21NC01WQ-J1330000",1990-07-26,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1990-08-28,"","Temperature, water",1422
"21NC01WQ-J1330000",1990-08-28,"","Turbidity",2007
"21NC01WQ-J1330000",1990-09-19,"","Temperature, water",1235.5
"21NC01WQ-J1330000",1990-10-22,"","Temperature, water",1140
"21NC01WQ-J1330000",1990-11-28,"","Temperature, water",1055
"21NC01WQ-J1330000",1990-11-28,"","Turbidity",768
"21NC01WQ-J1330000",1990-12-13,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1991-04-22,"","Temperature, water",1040
"21NC01WQ-J1330000",1991-05-16,"","Temperature, water",1351
"21NC01WQ-J1330000",1991-05-16,"","Turbidity",502
"21NC01WQ-J1330000",1991-06-24,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1991-07-18,"","Temperature, water",1376
"21NC01WQ-J1330000",1991-08-06,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1991-08-06,"","Turbidity",478
"21NC01WQ-J1330000",1991-09-26,"","Temperature, water",1235.5
"21NC01WQ-J1330000",1991-10-24,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1991-11-25,"","Temperature, water",1001.5
"21NC01WQ-J1330000",1991-11-25,"","Turbidity",748
"21NC01WQ-J1330000",1991-12-30,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1992-01-08,"","Temperature, water",1457
"21NC01WQ-J1330000",1992-02-18,"","Temperature, water",963
"21NC01WQ-J1330000",1992-02-18,"","Turbidity",524
"21NC01WQ-J1330000",1992-03-12,"","Temperature, water",940.5
"21NC01WQ-J1330000",1992-04-19,"","Temperature, water",1059
"21NC01WQ-J1330000",1992-05-13,"","Temperature, water",1175
"21NC01WQ-J1330000",1992-05-13,"","Turbidity",443
"21NC01WQ-J1330000",1992-06-18,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1992-07-15,"","Temperature, water",1441.5
"21NC01WQ-J1330000",1992-08-11,"","Temperature, water",1422
"21NC01WQ-J1330000",1992-08-11,"","Turbidity",1464
"21NC01WQ-J1330000",1992-09-15,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1992-10-14,"","Temperature, water",1140
