"MonitoringLocationIdentifier","ActivityStartDate","HydrologicEvent","Inorganic nitrogen (nitrate and nitrite)","Nitrate","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Phosphorus","Temperature, water","Turbidity"
"USGS-02086849",1985-12-17,"Routine sample",287,229,1022.5,996,1892,NA
"USGS-02086849",1986-01-22,"Routine sample",234.5,165,1160.66666666667,1019,1892,NA
"USGS-02086849",1986-02-19,"Routine sample",271,232,909.5,928.5,478,NA
"USGS-02086849",1986-03-25,"Routine sample",256,218,502,741,478,NA
"USGS-02086849",1986-04-21,"Routine sample",157,59,1644.5,1597,596,NA
"USGS-02086849",1986-05-28,"Routine sample",486,443,1451.5,1430,782,NA
"USGS-02086849",1986-06-18,"Routine sample",1903,1746,1418,1457,844,NA
"USGS-02086849",1986-07-28,"Routine sample",443,403,1206,1043,914,NA
"USGS-02086849",1986-08-20,"Routine sample",179,163,869.5,147,823,NA
"USGS-02086849",1986-09-23,"Routine sample",478,1989,698.5,1728,823,NA
"USGS-02086849",1986-10-28,"Routine sample",1033,767,1288.5,1443,596,NA
"USGS-02086849",1986-11-24,"Routine sample",443,2019,631.5,1443,483,NA
"USGS-02086849",1987-01-08,"Routine sample",294,274,1680.5,1214,1892,NA
"USGS-02086849",1987-02-24,"Routine sample",179,169,1029,153,979,NA
"USGS-02086849",1987-03-25,"Routine sample",211,165,1189.5,1014,478,NA
"USGS-02086849",1987-04-16,"Routine sample",179,165,792,169,524,NA
"USGS-02086849",1987-05-18,"Routine sample",294,163,631.5,1448,801,NA
"USGS-02086849",1988-12-21,"Routine sample",NA,NA,NA,NA,1989,NA
"USGS-02086849",1989-04-06,"Routine sample",NA,NA,NA,NA,505,NA
"USGS-02086849",1989-09-19,"Routine sample",NA,NA,NA,NA,827,NA
"USGS-02086849",1989-10-26,"Routine sample",NA,NA,NA,NA,548,NA
"USGS-02086849",1990-04-20,"Routine sample",NA,NA,NA,NA,548,NA
"USGS-02086849",1990-08-28,"Routine sample",NA,NA,NA,NA,928,NA
"USGS-02086849",1990-10-22,"Routine sample",NA,NA,NA,NA,619,NA
"USGS-02086849",1991-04-22,"Routine sample",NA,NA,NA,NA,529,NA
"USGS-02086849",1992-04-21,"Storm",2000,1757.33333333333,740,266.5,801,NA
"USGS-02086849",1992-08-11,"Routine sample",NA,NA,NA,NA,844,NA
"USGS-02086849",1992-11-18,"Routine sample",NA,NA,NA,NA,478,NA
"USGS-02086849",1993-04-28,"Routine sample",NA,NA,NA,NA,571,NA
"USGS-02086849",1993-05-20,"Routine sample",768,625,1033,79,646,NA
"USGS-02086849",1993-05-26,"Storm",NA,NA,NA,NA,801,NA
"USGS-02086849",1993-08-12,"Routine sample",NA,NA,NA,NA,888,NA
"USGS-02086849",1993-10-19,"Routine sample",NA,NA,NA,NA,801,NA
"USGS-02086849",1994-03-29,"Storm",NA,NA,NA,NA,483,NA
"USGS-02086849",1994-04-18,"Routine sample",NA,NA,NA,NA,646,NA
"USGS-02086849",1994-08-23,"Routine sample",NA,NA,NA,NA,866,NA
"USGS-02086849",1994-10-25,"Routine sample",NA,NA,NA,NA,592,NA
"USGS-02086849",1995-04-24,"Routine sample",NA,NA,NA,NA,550,NA
"USGS-02086849",2006-01-18,"Storm",269,521.5,758,234,455,NA
"USGS-02086849",2006-06-14,"Storm",178,252.5,393,197,784,NA
"USGS-02086849",2007-03-02,"Storm",239,477,706,211,505,NA
"USGS-02086849",2008-09-06,"Storm",187,263.5,355,156,828,NA
"USGS-02086849",2008-09-26,"Storm",227,457.5,374,198,602,NA
"USGS-02086849",2009-01-06,"Storm",233,466.5,383,197,416,NA
"USGS-02086849",2009-05-19,"Routine sample",NA,NA,NA,NA,593,NA
"USGS-02086849",2009-11-11,"Storm",208,288.5,374,213,509,NA
"USGS-02086849",2010-09-27,"Storm",207,287,345,184,NA,NA
"USGS-02086849",2011-05-14,"Storm",351,966.5,1053,248,NA,NA
"USGS-02086849",2011-07-08,"Storm",348,899,1024,262,NA,NA
"USGS-02086849",2014-04-08,"Routine sample",348,964,717,148,526,NA
"USGS-02086849",2014-04-15,"Routine sample",194,273,762,279,623,NA
"USGS-02086849",2014-04-23,"Routine sample",1032,791,1250,71,576,NA
"USGS-02086849",2014-04-29,"Routine sample",757,618.5,1016,75,573,NA
"USGS-02086849",2014-05-06,"Routine sample",761,621.5,1044,96,803,NA
"USGS-02086849",2014-05-12,"Routine sample",737,593.5,1005,111,892,NA
"USGS-02086849",2014-05-20,"Routine sample",315,787.5,381,98,672,NA
"USGS-02086849",2014-05-29,"Routine sample",1004,763.5,1234,77,807,NA
"USGS-02086849",2014-06-03,"Routine sample",353,971.5,711,76,670,NA
"USGS-02086849",2014-06-10,"Routine sample",717,560,990,115,845,NA
"USGS-02086849",2018-03-27,"Routine sample",705,1358.5,753,NA,409,NA
