"OrganizationIdentifier","ActivityStartDate","ActivityStartTime/Time","ActivityEndDate","ActivityEndTime/Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","3/2/07",08:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","Temperature, water",NA,"13.3","Accepted","Actual"
"USGS-NC","3/29/94",09:45:00,NA,NA,"USGS-0208682450","Storm","Falling stage","Temperature, water",NA,"13.5","Historical","Actual"
"USGS-NC","10/26/11",10:35:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"14.2","Preliminary","Actual"
"USGS-NC","4/8/14",13:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, high stage","Temperature, water",NA,"14.2","Accepted","Actual"
"USGS-NC","4/25/12",12:30:00,NA,NA,"USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water",NA,"14.3","Preliminary","Actual"
"USGS-NC","4/22/91",14:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"14.5","Historical","Actual"
"USGS-NC","11/29/83",10:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"14.5","Historical","Actual"
"USGS-NC","4/20/90",10:20:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"15","Historical","Actual"
"USGS-NC","4/28/93",16:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"16","Historical","Actual"
"USGS-NC","4/29/14",12:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"16.3","Accepted","Actual"
"USGS-NC","4/23/14",10:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"16.6","Accepted","Actual"
"USGS-NC","9/26/83",08:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"17","Historical","Actual"
"USGS-NC","5/19/09",11:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"17.1","Accepted","Actual"
"USGS-NC","10/24/83",08:00:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"17.5","Historical","Actual"
"USGS-NC","4/21/86",10:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"17.5","Historical","Actual"
"USGS-NC","3/30/12",12:10:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"17.7","Preliminary","Actual"
"USGS-NC","5/20/93",10:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"19","Historical","Actual"
"USGS-NC","6/3/14",09:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"19.6","Accepted","Actual"
"USGS-NC","5/20/14",14:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"19.7","Accepted","Actual"
"USGS-NC","10/8/16",16:45:00,NA,NA,"USGS-0208675009","Storm","Peak stage","Temperature, water",NA,"20","Accepted","Actual"
"USGS-NC","6/14/06",14:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Temperature, water",NA,"20.7","Accepted","Actual"
"USGS-NC","4/21/92",15:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Temperature, water",NA,"21","Historical","Actual"
"USGS-NC","5/26/93",12:00:00,NA,NA,"USGS-02086849","Storm","Rising stage","Temperature, water",NA,"21","Historical","Actual"
"USGS-NC","9/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"21","Historical","Actual"
"USGS-NC","5/6/14",15:20:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"21.3","Accepted","Actual"
"USGS-NC","6/5/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"21.5","Historical","Actual"
"USGS-NC","8/20/86",13:40:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"22","Historical","Actual"
"USGS-NC","10/23/84",14:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"22.5","Historical","Actual"
"USGS-NC","9/6/08",12:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","Temperature, water",NA,"22.6","Accepted","Actual"
"USGS-NC","8/23/84",10:45:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"23","Historical","Actual"
"USGS-NC","8/11/92",15:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"23","Historical","Actual"
"USGS-NC","8/23/94",14:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"24","Historical","Actual"
"USGS-NC","7/12/16",09:45:00,NA,NA,"USGS-0208682450","Routine sample","Stable, normal stage","Temperature, water",NA,"24.4","Accepted","Actual"
"USGS-NC","6/18/85",09:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"24.5","Historical","Actual"
"USGS-NC","7/12/16",11:00:00,NA,NA,"USGS-02086835","Routine sample","Stable, normal stage","Temperature, water",NA,"25.3","Accepted","Actual"
"USGS-NC","7/12/16",11:45:00,NA,NA,"USGS-02086837","Routine sample","Stable, normal stage","Temperature, water",NA,"25.7","Accepted","Actual"
"USGS-NC","7/12/16",13:10:00,NA,NA,"USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, water",NA,"25.7","Accepted","Actual"
"USGS-NC","7/22/85",14:15:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"26","Historical","Actual"
"USGS-NC","8/1/83",09:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"27","Historical","Actual"
"USGS-NC","7/12/16",15:20:00,NA,NA,"USGS-02086841","Routine sample","Stable, normal stage","Temperature, water",NA,"27.2","Accepted","Actual"
"USGS-NC","1/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"6.5","Historical","Actual"
"USGS-NC","3/27/18",11:00:00,NA,NA,"USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, water",NA,"7","Accepted","Actual"
"USGS-NC","1/22/86",09:35:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"8","Historical","Actual"
"USGS-NC","1/8/87",08:55:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"8","Historical","Actual"
"USGS-NC","3/14/84",12:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"8","Historical","Actual"
"USGS-NC","2/22/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"8.5","Historical","Actual"
"USGS-NC","1/3/85",09:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"9","Historical","Actual"
"USGS-NC","12/21/88",10:00:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"9","Historical","Actual"
"USGS-NC","2/23/84",13:15:00,NA,NA,"USGS-02086849","Flood","Rising stage","Temperature, water",NA,"9.5","Historical","Actual"
"USGS-NC","5/20/93",10:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"19","Historical","Actual"
"USGS-NC","4/25/12",12:30:00,NA,NA,"USGS-0208675010","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"19.5","Preliminary","Actual"
"USGS-NC","5/26/93",12:00:00,NA,NA,"USGS-02086849","Storm","Rising stage","Temperature, air, deg C",NA,"22.5","Historical","Actual"
"USGS-NC","4/28/93",16:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"24","Historical","Actual"
"USGS-NC","7/12/16",09:45:00,NA,NA,"USGS-0208682450","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"26.2","Accepted","Actual"
"USGS-NC","7/12/16",11:00:00,NA,NA,"USGS-02086835","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"29.9","Accepted","Actual"
"USGS-NC","7/12/16",15:20:00,NA,NA,"USGS-02086841","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.3","Accepted","Actual"
"USGS-NC","7/12/16",11:45:00,NA,NA,"USGS-02086837","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.5","Accepted","Actual"
"USGS-NC","7/12/16",13:10:00,NA,NA,"USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.8","Accepted","Actual"
"USGS-NC","3/27/18",12:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"8","Accepted","Actual"
"USGS-NC","3/27/18",11:00:00,NA,NA,"USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"8","Accepted","Actual"
"USGS-NC","3/18/83",17:25:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"733","Historical","Actual"
"USGS-NC","2/23/84",13:15:00,NA,NA,"USGS-02086849","Flood","Rising stage","Barometric pressure",NA,"735","Historical","Actual"
"USGS-NC","3/18/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"736","Historical","Actual"
"USGS-NC","4/8/14",13:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, high stage","Barometric pressure",NA,"740","Accepted","Actual"
"USGS-NC","4/21/86",10:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"744","Historical","Actual"
"USGS-NC","12/6/16",14:30:00,NA,NA,"USGS-0208675009","Storm","Rising stage","Barometric pressure",NA,"746","Accepted","Actual"
"USGS-NC","10/24/83",08:00:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"746","Historical","Actual"
"USGS-NC","11/29/83",10:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"747","Historical","Actual"
"USGS-NC","3/2/07",08:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","Barometric pressure",NA,"747","Accepted","Actual"
"USGS-NC","10/8/16",16:45:00,NA,NA,"USGS-0208675009","Storm","Peak stage","Barometric pressure",NA,"747","Accepted","Actual"
"USGS-NC","6/18/85",09:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"749","Historical","Actual"
"USGS-NC","2/19/86",15:50:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"749","Historical","Actual"
"USGS-NC","5/20/93",10:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"750","Historical","Actual"
"USGS-NC","9/6/08",12:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","Barometric pressure",NA,"751","Accepted","Actual"
"USGS-NC","6/14/06",14:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Barometric pressure",NA,"751","Accepted","Actual"
"USGS-NC","4/23/14",10:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"752","Accepted","Actual"
"USGS-NC","8/20/86",13:40:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"752","Historical","Actual"
"USGS-NC","9/27/10",03:45:00,"9/27/10",08:00:59,"USGS-02086849","Storm","Rising stage","Barometric pressure",NA,"752","Accepted","Actual"
"USGS-NC","3/29/94",09:45:00,NA,NA,"USGS-0208682450","Storm","Falling stage","Barometric pressure",NA,"753","Historical","Actual"
"USGS-NC","4/9/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"753","Historical","Actual"
"USGS-NC","1/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"754","Historical","Actual"
"USGS-NC","3/25/87",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"754","Historical","Actual"
"USGS-NC","4/29/14",12:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"754","Accepted","Actual"
"USGS-NC","8/23/84",10:45:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"755","Historical","Actual"
"USGS-NC","6/5/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"755","Historical","Actual"
"USGS-NC","4/25/12",12:30:00,NA,NA,"USGS-0208675010","Routine sample","Stable, normal stage","Barometric pressure",NA,"755","Preliminary","Actual"
"USGS-NC","3/30/12",12:10:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure",NA,"756","Preliminary","Actual"
"USGS-NC","1/22/86",09:35:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"756","Historical","Actual"
"USGS-NC","2/22/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"756","Historical","Actual"
"USGS-NC","3/14/84",12:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"756","Historical","Actual"
"USGS-NC","8/1/83",09:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"756","Historical","Actual"
"USGS-NC","6/3/14",09:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"757","Accepted","Actual"
"USGS-NC","1/8/87",08:55:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"757","Historical","Actual"
"USGS-NC","10/26/11",10:35:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure",NA,"757","Preliminary","Actual"
"USGS-NC","5/26/93",12:00:00,NA,NA,"USGS-02086849","Storm","Rising stage","Barometric pressure",NA,"758","Historical","Actual"
"USGS-NC","7/12/16",09:45:00,NA,NA,"USGS-0208682450","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","Accepted","Actual"
"USGS-NC","7/12/16",11:00:00,NA,NA,"USGS-02086835","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","Accepted","Actual"
"USGS-NC","7/12/16",11:45:00,NA,NA,"USGS-02086837","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","Accepted","Actual"
"USGS-NC","7/12/16",15:20:00,NA,NA,"USGS-02086841","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","Accepted","Actual"
"USGS-NC","7/12/16",13:10:00,NA,NA,"USGS-360226078512801","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","Accepted","Actual"
"USGS-NC","10/23/84",14:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"759","Historical","Actual"
"USGS-NC","1/3/85",09:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"759","Historical","Actual"
"USGS-NC","9/26/83",08:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"759","Historical","Actual"
"USGS-NC","5/6/14",15:20:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"760","Accepted","Actual"
"USGS-NC","5/20/14",14:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"761","Accepted","Actual"
"USGS-NC","7/22/85",14:15:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"761","Historical","Actual"
"USGS-NC","4/21/92",15:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Barometric pressure",NA,"762","Historical","Actual"
"USGS-NC","3/27/18",12:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"762","Accepted","Actual"
"USGS-NC","3/27/18",11:00:00,NA,NA,"USGS-360211078513701","Routine sample","Stable, normal stage","Barometric pressure",NA,"762","Accepted","Actual"
"USGS-NC","9/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"763","Historical","Actual"
"USGS-NC","5/19/09",11:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"767","Accepted","Actual"
"USGS-NC","3/25/86",09:45:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"769","Historical","Actual"
"USGS-NC","4/8/14",13:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, high stage","Wind velocity",NA,"5","Accepted","Actual"
"USGS-NC","5/20/14",14:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, mean. daily",NA,"17","Accepted","Estimated"
"USGS-NC","10/26/11",10:35:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.27","Preliminary","Actual"
"USGS-NC","4/21/86",10:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"103","Historical","Actual"
"USGS-NC","6/3/14",09:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"11","Accepted","Actual"
"USGS-NC","3/30/12",12:10:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"1.1","Preliminary","Actual"
"USGS-NC","6/14/06",14:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"1170","Accepted","Actual"
"USGS-NC","11/29/83",10:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"12","Historical","Actual"
"USGS-NC","7/22/85",14:15:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"12","Historical","Actual"
"USGS-NC","6/5/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"12","Historical","Actual"
"USGS-NC","1/8/87",08:55:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"12","Historical","Actual"
"USGS-NC","2/22/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"13","Historical","Actual"
"USGS-NC","3/25/87",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"13","Historical","Actual"
"USGS-NC","8/23/94",14:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"14","Historical","Actual"
"USGS-NC","11/18/92",15:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"15","Historical","Actual"
"USGS-NC","1/5/84",10:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"15","Historical","Actual"
"USGS-NC","10/23/84",14:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"15","Historical","Actual"
"USGS-NC","5/19/09",11:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"15","Accepted","Actual"
"USGS-NC","4/28/93",16:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"16","Historical","Actual"
"USGS-NC","3/25/86",09:45:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"16","Historical","Actual"
"USGS-NC","2/23/84",13:15:00,NA,NA,"USGS-02086849","Flood","Rising stage","Stream flow, instantaneous",NA,"1840","Historical","Actual"
"USGS-NC","3/18/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"1870","Historical","Actual"
"USGS-NC","2/2/84",15:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"19","Historical","Actual"
"USGS-NC","5/20/14",14:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"204","Accepted","Estimated"
"USGS-NC","5/6/14",15:20:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"21","Accepted","Actual"
"USGS-NC","1/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"21","Historical","Actual"
"USGS-NC","3/18/83",17:25:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"2160","Historical","Actual"
"USGS-NC","4/29/14",12:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"23","Accepted","Actual"
"USGS-NC","2/21/84",15:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"24","Historical","Actual"
"USGS-NC","8/20/86",13:40:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"2410","Historical","Actual"
"USGS-NC","5/10/84",15:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"26","Historical","Actual"
"USGS-NC","2/19/86",15:50:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"26","Historical","Actual"
"USGS-NC","4/23/14",10:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"27","Accepted","Actual"
"USGS-NC","4/9/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"28","Historical","Actual"
"USGS-NC","5/20/93",10:00:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"30","Historical","Actual"
"USGS-NC","9/26/83",08:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"3.1","Historical","Actual"
"USGS-NC","9/27/10",03:45:00,"9/27/10",08:00:59,"USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"319","Accepted","Actual"
"USGS-NC","4/6/89",12:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"370","Historical","Actual"
"USGS-NC","8/1/83",09:05:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"4.3","Historical","Actual"
"USGS-NC","12/12/82",12:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"434","Historical","Actual"
"USGS-NC","9/24/84",09:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"4.6","Historical","Actual"
"USGS-NC","7/8/11",16:15:00,"7/8/11",21:45:59,"USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"488","Accepted","Actual"
"USGS-NC","6/18/85",09:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"5","Historical","Actual"
"USGS-NC","4/21/92",15:30:00,NA,NA,"USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"51","Historical","Actual"
"USGS-NC","3/14/84",12:10:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"62","Historical","Actual"
"USGS-NC","5/26/93",12:00:00,NA,NA,"USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"72","Historical","Actual"
"USGS-NC","2/23/12",11:45:00,NA,NA,"USGS-0208675010","Routine sample","Falling stage","Stream flow, instantaneous",NA,"7.2","Preliminary","Actual"
"USGS-NC","10/24/83",08:00:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"78","Historical","Actual"
"USGS-NC","1/3/85",09:45:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"806","Historical","Actual"
"USGS-NC","12/21/88",10:00:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"8.6","Historical","Actual"
"USGS-NC","1/22/86",09:35:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"9","Historical","Actual"
"USGS-NC","4/8/14",13:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, high stage","Stream flow, instantaneous",NA,"91","Accepted","Actual"
"USGS-NC","3/2/07",08:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","Stream flow, instantaneous",NA,"953","Accepted","Actual"
"USGS-NC","8/18/83",13:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"9.6","Historical","Actual"
"USGS-NC","8/23/84",10:45:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"9.8","Historical","Actual"
"USGS-NC","10/26/11",10:35:00,NA,NA,"USGS-0208675010","Routine sample","Stable, low stage","Height, gage",NA,"0.29","Preliminary","Actual"
