"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"8","deg C","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"8","deg C","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"8.5","deg C","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"9","deg C","Historical","Actual"
"USGS-NC","12/21/88","10:00:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"9","deg C","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Temperature, water",NA,"9.5","deg C","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"19","deg C","Historical","Actual"
"USGS-NC","4/25/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"19.5","deg C","Preliminary","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Temperature, air, deg C",NA,"22.5","deg C","Historical","Actual"
"USGS-NC","4/28/93","16:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"24","deg C","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"26.2","deg C","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","USGS-02086835","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"29.9","deg C","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","USGS-02086841","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.3","deg C","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","USGS-02086837","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.5","deg C","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"31.8","deg C","Accepted","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"8","deg C","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, air, deg C",NA,"8","deg C","Accepted","Actual"
"USGS-NC","3/18/83","17:25:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"733","mm/Hg","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Barometric pressure",NA,"735","mm/Hg","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"736","mm/Hg","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Barometric pressure",NA,"740","mm/Hg","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"744","mm/Hg","Historical","Actual"
"USGS-NC","12/6/16","14:30:00","USGS-0208675009","Storm","Rising stage","Barometric pressure",NA,"746","mm/Hg","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"746","mm/Hg","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"747","mm/Hg","Historical","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Barometric pressure",NA,"747","mm/Hg","Accepted","Actual"
"USGS-NC","10/8/16","16:45:00","USGS-0208675009","Storm","Peak stage","Barometric pressure",NA,"747","mm/Hg","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"749","mm/Hg","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"749","mm/Hg","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"750","mm/Hg","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","Barometric pressure",NA,"751","mm/Hg","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Barometric pressure",NA,"751","mm/Hg","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"752","mm/Hg","Accepted","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"752","mm/Hg","Historical","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Barometric pressure",NA,"752","mm/Hg","Accepted","Actual"
"USGS-NC","3/29/94","9:45:00","USGS-0208682450","Storm","Falling stage","Barometric pressure",NA,"753","mm/Hg","Historical","Actual"
"USGS-NC","4/9/84","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"753","mm/Hg","Historical","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"754","mm/Hg","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"754","mm/Hg","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"754","mm/Hg","Accepted","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"755","mm/Hg","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"755","mm/Hg","Historical","Actual"
"USGS-NC","4/25/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Barometric pressure",NA,"755","mm/Hg","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure",NA,"756","mm/Hg","Preliminary","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"756","mm/Hg","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"756","mm/Hg","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"756","mm/Hg","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"756","mm/Hg","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"757","mm/Hg","Accepted","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"757","mm/Hg","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure",NA,"757","mm/Hg","Preliminary","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Barometric pressure",NA,"758","mm/Hg","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","mm/Hg","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","USGS-02086835","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","mm/Hg","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","USGS-02086837","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","mm/Hg","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","USGS-02086841","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","mm/Hg","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","USGS-360226078512801","Routine sample","Stable, normal stage","Barometric pressure",NA,"758","mm/Hg","Accepted","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"759","mm/Hg","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"759","mm/Hg","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"759","mm/Hg","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"760","mm/Hg","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"761","mm/Hg","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Barometric pressure",NA,"761","mm/Hg","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Barometric pressure",NA,"762","mm/Hg","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure",NA,"762","mm/Hg","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Barometric pressure",NA,"762","mm/Hg","Accepted","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure",NA,"763","mm/Hg","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","USGS-02086849","Routine sample","Not determined","Barometric pressure",NA,"767","mm/Hg","Accepted","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Barometric pressure",NA,"769","mm/Hg","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Wind velocity",NA,"5","mph","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, mean. daily",NA,"17","ft3/s","Accepted","Estimated"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.27","ft3/s","Preliminary","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"103","ft3/s","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"11","ft3/s","Accepted","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"1.1","ft3/s","Preliminary","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"1170","ft3/s","Accepted","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"12","ft3/s","Historical","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"12","ft3/s","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"12","ft3/s","Historical","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"12","ft3/s","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"13","ft3/s","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"13","ft3/s","Historical","Actual"
"USGS-NC","8/23/94","14:45:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"14","ft3/s","Historical","Actual"
"USGS-NC","11/18/92","15:15:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"15","ft3/s","Historical","Actual"
"USGS-NC","1/5/84","10:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"15","ft3/s","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"15","ft3/s","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"15","ft3/s","Accepted","Actual"
"USGS-NC","4/28/93","16:00:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"16","ft3/s","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"16","ft3/s","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Stream flow, instantaneous",NA,"1840","ft3/s","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"1870","ft3/s","Historical","Actual"
"USGS-NC","2/2/84","15:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"19","ft3/s","Historical","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"204","ft3/s","Accepted","Estimated"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"21","ft3/s","Accepted","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"21","ft3/s","Historical","Actual"
"USGS-NC","3/18/83","17:25:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"2160","ft3/s","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"23","ft3/s","Accepted","Actual"
"USGS-NC","2/21/84","15:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"24","ft3/s","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"2410","ft3/s","Historical","Actual"
"USGS-NC","5/10/84","15:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"26","ft3/s","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"26","ft3/s","Historical","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"27","ft3/s","Accepted","Actual"
"USGS-NC","4/9/84","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"28","ft3/s","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"30","ft3/s","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"3.1","ft3/s","Historical","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"319","ft3/s","Accepted","Actual"
"USGS-NC","4/6/89","12:40:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"370","ft3/s","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"4.3","ft3/s","Historical","Actual"
"USGS-NC","12/12/82","12:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"434","ft3/s","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"4.6","ft3/s","Historical","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"488","ft3/s","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"5","ft3/s","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"51","ft3/s","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"62","ft3/s","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"72","ft3/s","Historical","Actual"
"USGS-NC","2/23/12","11:45:00","USGS-0208675010","Routine sample","Falling stage","Stream flow, instantaneous",NA,"7.2","ft3/s","Preliminary","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"78","ft3/s","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"806","ft3/s","Historical","Actual"
"USGS-NC","12/21/88","10:00:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"8.6","ft3/s","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"9","ft3/s","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Stream flow, instantaneous",NA,"91","ft3/s","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Stream flow, instantaneous",NA,"953","ft3/s","Accepted","Actual"
"USGS-NC","8/18/83","13:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"9.6","ft3/s","Historical","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"9.8","ft3/s","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Height, gage",NA,"0.29","ft","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Height, gage",NA,"0.36","ft","Preliminary","Actual"
"USGS-NC","2/23/12","11:45:00","USGS-0208675010","Routine sample","Falling stage","Height, gage",NA,"0.5","ft","Preliminary","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Height, gage",NA,"0.93","ft","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Height, gage",NA,"0.99","ft","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Height, gage",NA,"10.75","ft","Historical","Actual"
