"agency","site_no","Date","HydrologicEvent","SampleFraction","Units","Nitrate","Nitrogen","Phosphorus","Temperature","month","agency_cd.x","site_no.x","Discharge.G","D.Approval.Code.G","Gage.Height.G","GH.Approval.Code.G","agency_cd.y","site_no.y","Discharge.C","D.Approval.Code.C","Gage.Height.C","GH.Approval.Code.C"
"21NC01WQ","J1270000",1976-12-02,NA," ","deg C",NA,NA,NA,5.2,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-06,NA," ","deg C",NA,NA,NA,4.4,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-07,NA," ","deg C",NA,NA,NA,9.5,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-09,NA," ","deg C",NA,NA,NA,3,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-13,NA," ","deg C",NA,NA,NA,8.8,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-15,NA," ","deg C",NA,NA,NA,6.4,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-16,NA," ","deg C",NA,NA,NA,9,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-20,NA," ","deg C",NA,NA,NA,9,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-27,NA," ","deg C",NA,NA,NA,2,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-12-30,NA," ","deg C",NA,NA,NA,1,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-03,NA," ","deg C",NA,NA,NA,3,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-06,NA," ","deg C",NA,NA,NA,3,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-07,NA," ","deg C",NA,NA,NA,1,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-10,NA," ","deg C",NA,NA,NA,3.5,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-13,NA," ","deg C",NA,NA,NA,0,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-18,NA," ","deg C",NA,NA,NA,0,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-20,NA," ","deg C",NA,NA,NA,0,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-24,NA," ","deg C",NA,NA,NA,0,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-27,NA," ","deg C",NA,NA,NA,3,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-01-31,NA," ","deg C",NA,NA,NA,0,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-03,NA," ","deg C",NA,NA,NA,1,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-08,NA," ","deg C",NA,NA,NA,0.5,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-10,NA," ","deg C",NA,NA,NA,5,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-15,NA," ","deg C",NA,NA,NA,5,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-17,NA," ","deg C",NA,NA,NA,1,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-22,NA," ","deg C",NA,NA,NA,4,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-02-24,NA," ","deg C",NA,NA,NA,11,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-01,NA," ","deg C",NA,NA,NA,6,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-03,NA," ","deg C",NA,NA,NA,11,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-07,NA," ","deg C",NA,NA,NA,9,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-10,NA," ","deg C",NA,NA,NA,11,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-14,NA," ","deg C",NA,NA,NA,14,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-17,NA," ","deg C",NA,NA,NA,11,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-21,NA," ","deg C",NA,NA,NA,11,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-24,NA," ","deg C",NA,NA,NA,12,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-28,NA," ","deg C",NA,NA,NA,15,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-03-31,NA," ","deg C",NA,NA,NA,16,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-04,NA," ","deg C",NA,NA,NA,15,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-07,NA," ","deg C",NA,NA,NA,10,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-12,NA," ","deg C",NA,NA,NA,17,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-14,NA," ","deg C",NA,NA,NA,18,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-18,NA," ","deg C",NA,NA,NA,17,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-21,NA," ","deg C",NA,NA,NA,19.5,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-25,NA," ","deg C",NA,NA,NA,17,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-04-28,NA," ","deg C",NA,NA,NA,15,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-02,NA," ","deg C",NA,NA,NA,17,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-05,NA," ","deg C",NA,NA,NA,19,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-09,NA," ","deg C",NA,NA,NA,15,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-12,NA," ","deg C",NA,NA,NA,13,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-16,NA," ","deg C",NA,NA,NA,17.5,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-19,NA," ","deg C",NA,NA,NA,21,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-23,NA," ","deg C",NA,NA,NA,22,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-05-31,NA," ","deg C",NA,NA,NA,23,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-06-02,NA," ","deg C",NA,NA,NA,22,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-06-06,NA," ","deg C",NA,NA,NA,22,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-06-09,NA," ","deg C",NA,NA,NA,20,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-06-13,NA," ","deg C",NA,NA,NA,22.5,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-06-20,NA," ","deg C",NA,NA,NA,24,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-07-07,NA," ","deg C",NA,NA,NA,26.5,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-08-18,NA," ","deg C",NA,NA,NA,22,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-08-23,NA," ","deg C",NA,NA,NA,23.5,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-08-25,NA," ","deg C",NA,NA,NA,22.5,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-08-30,NA," ","deg C",NA,NA,NA,24,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-06,NA," ","deg C",NA,NA,NA,24,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-13,NA," ","deg C",NA,NA,NA,19,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-15,NA," ","deg C",NA,NA,NA,23,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-20,NA," ","deg C",NA,NA,NA,24,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-22,NA," ","deg C",NA,NA,NA,21.5,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-27,NA," ","deg C",NA,NA,NA,23.5,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1977-09-29,NA," ","deg C",NA,NA,NA,18.5,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1968-08-19,NA," ","deg C",NA,NA,NA,31,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1968-08-28,NA," ","deg C",NA,NA,NA,21,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1969-07-14,NA," ","deg C",NA,NA,NA,26,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1969-08-21,NA," ","deg C",NA,NA,NA,27,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1970-07-07,NA," ","deg C",NA,NA,NA,26,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1970-08-31,NA," ","deg C",NA,NA,NA,32,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1970-11-17,NA," ","deg C",NA,NA,NA,12,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1971-04-20,NA," ","deg C",NA,NA,NA,21,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1971-06-28,NA," ","deg C",NA,NA,NA,31,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1971-08-04,NA," ","deg C",NA,NA,NA,32,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1971-09-08,NA," ","deg C",NA,NA,NA,25,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1972-05-25,NA," ","deg C",NA,NA,NA,19,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1972-07-24,NA," ","deg C",NA,NA,NA,30,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1973-08-14,NA," ","deg C",NA,NA,NA,29,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1974-11-05,NA," ","deg C",NA,NA,NA,19,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1975-01-10,NA," ","deg C",NA,NA,NA,8,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1290000",1975-02-05,NA," ","deg C",NA,NA,NA,6.5,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1968-08-19,NA," ","deg C",NA,NA,NA,31,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1968-08-28,NA," ","deg C",NA,NA,NA,22,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1969-07-14,NA," ","deg C",NA,NA,NA,25,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1969-08-21,NA," ","deg C",NA,NA,NA,26,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1970-07-07,NA," ","deg C",NA,NA,NA,25,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1970-08-31,NA," ","deg C",NA,NA,NA,30,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1970-11-17,NA," ","deg C",NA,NA,NA,15,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1971-04-20,NA," ","deg C",NA,NA,NA,22,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1971-06-28,NA," ","deg C",NA,NA,NA,28,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1971-08-04,NA," ","deg C",NA,NA,NA,31,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1971-09-08,NA," ","deg C",NA,NA,NA,23,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1972-05-25,NA," ","deg C",NA,NA,NA,19,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1972-07-24,NA," ","deg C",NA,NA,NA,30,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1973-08-14,NA," ","deg C",NA,NA,NA,28,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1974-02-28,NA," ","deg C",NA,NA,NA,8,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1974-09-25,NA," ","deg C",NA,NA,NA,19,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1974-10-08,NA," ","deg C",NA,NA,NA,18,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1974-11-05,NA," ","deg C",NA,NA,NA,20.5,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1974-12-05,NA," ","deg C",NA,NA,NA,9,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-01-10,NA," ","deg C",NA,NA,NA,8,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-01-21,NA," ","deg C",NA,NA,NA,5,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-02-05,NA," ","deg C",NA,NA,NA,7,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-02-26,NA," ","deg C",NA,NA,NA,12,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-03-06,NA," ","deg C",NA,NA,NA,13,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-03-12,NA," ","deg C",NA,NA,NA,11,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-03-17,NA," ","deg C",NA,NA,NA,8,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-03-25,NA," ","deg C",NA,NA,NA,15.5,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-04-07,NA," ","deg C",NA,NA,NA,18,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-05-12,NA," ","deg C",NA,NA,NA,21,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-08-25,NA," ","deg C",NA,NA,NA,23,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-09-22,NA," ","deg C",NA,NA,NA,21,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1975-11-20,NA," ","deg C",NA,NA,NA,12.5,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-01-15,NA," ","deg C",NA,NA,NA,5,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-02-04,NA," ","deg C",NA,NA,NA,8,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-03-15,NA," ","deg C",NA,NA,NA,12,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-04-29,NA," ","deg C",NA,NA,NA,21,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-05-26,NA," ","deg C",NA,NA,NA,16,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-06-21,NA," ","deg C",NA,NA,NA,25,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-07-20,NA," ","deg C",NA,NA,NA,25,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-08-10,NA," ","deg C",NA,NA,NA,29,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-09-30,NA," ","deg C",NA,NA,NA,23,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-10-19,NA," ","deg C",NA,NA,NA,12,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-11-23,NA," ","deg C",NA,NA,NA,7,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1976-12-01,NA," ","deg C",NA,NA,NA,7,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-01-27,NA," ","deg C",NA,NA,NA,6,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-02-22,NA," ","deg C",NA,NA,NA,6,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-03-10,NA," ","deg C",NA,NA,NA,12,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-04-21,NA," ","deg C",NA,NA,NA,20,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-05-31,NA," ","deg C",NA,NA,NA,21,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-07-12,NA," ","deg C",NA,NA,NA,30,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-08-16,NA," ","deg C",NA,NA,NA,28,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-09-14,NA," ","deg C",NA,NA,NA,23,"Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-10-06,NA," ","deg C",NA,NA,NA,16,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-11-03,NA," ","deg C",NA,NA,NA,18,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1977-12-07,NA," ","deg C",NA,NA,NA,6,"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-01-26,NA," ","deg C",NA,NA,NA,4,"Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-02-21,NA," ","deg C",NA,NA,NA,6,"Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-03-28,NA," ","deg C",NA,NA,NA,11.5,"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-04-12,NA," ","deg C",NA,NA,NA,18,"Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-05-25,NA," ","deg C",NA,NA,NA,25,"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-06-21,NA," ","deg C",NA,NA,NA,25,"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1330000",1978-07-12,NA," ","deg C",NA,NA,NA,22,"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
